attendance,away_score,away_team,date,home_score,home_team,margin,round,season,umpires,url,venue
41563,89,Hawthorn,"Sun, 16-May-2010 1:10 PM",86,Richmond,-3,8,2010,"Scott McLaren (352), Damien Sully (47), Troy Pannell (59)",http://afltables.com/afl/stats/games/2010/101420100516.html,M.C.G.
30228,118,Carlton,"Sun, 16-May-2010 2:40 PM (3:10 PM)",92,Port Adelaide,-26,8,2010,"Sam Hay (18), Shaun Ryan (169), Jason Armstrong (26)",http://afltables.com/afl/stats/games/2010/031320100516.html,Football Park
39204,93,Essendon,"Sun, 16-May-2010 4:40 PM",81,St Kilda,-12,8,2010,"Chris Kamolins (68), Rob Findlay (19), Stephen McBurney (320)",http://afltables.com/afl/stats/games/2010/051520100516.html,Docklands
88115,86,Geelong,"Fri, 21-May-2010 7:40 PM",50,Collingwood,-36,9,2010,"Stephen McBurney (321), Shaun Ryan (170), Troy Pannell (60)",http://afltables.com/afl/stats/games/2010/040920100521.html,M.C.G.
30794,127,Western Bulldogs,"Sat, 22-May-2010 2:10 PM",57,North Melbourne,-70,9,2010,"Matt Stevic (129), Hayden Kennedy (466), Chris Kamolins (69)",http://afltables.com/afl/stats/games/2010/071220100522.html,Docklands
24819,100,Fremantle,"Sat, 22-May-2010 2:10 PM",63,Sydney,-37,9,2010,"Chris Donlon (95), Michael Avon (173), Scott Jeffery (173)",http://afltables.com/afl/stats/games/2010/081620100522.html,S.C.G.
8848,110,Port Adelaide,"Sat, 22-May-2010 7:10 PM (7:40 PM)",111,Melbourne,1,9,2010,"Scott McLaren (353), Damien Sully (48), Rob Findlay (20)",http://afltables.com/afl/stats/games/2010/111320100522.html,Marrara Oval
64709,95,Richmond,"Sat, 22-May-2010 7:45 PM",130,Essendon,35,9,2010,"Brett Rosebury (183), Shane Stewart (30), Jason Armstrong (27)",http://afltables.com/afl/stats/games/2010/051420100522.html,M.C.G.
31517,81,Brisbane Lions,"Sun, 23-May-2010 12:40 PM (1:10 PM)",93,Adelaide,12,9,2010,"Stefan Grun (90), Mathew Nicholls (113), Simon Meredith (122)",http://afltables.com/afl/stats/games/2010/011920100523.html,Football Park
47484,110,Hawthorn,"Sun, 23-May-2010 2:10 PM",60,Carlton,-50,9,2010,"Stuart Wenn (259), Shane McInerney (294), Jacob Mollison (28)",http://afltables.com/afl/stats/games/2010/031020100523.html,Docklands
36244,91,St Kilda,"Sun, 23-May-2010 2:40 PM (4:40 PM)",56,West Coast,-35,9,2010,"Dean Margetts (131), Ray Chamberlain (121), Michael Jennings (3)",http://afltables.com/afl/stats/games/2010/151820100523.html,Subiaco
45742,90,Western Bulldogs,"Fri, 28-May-2010 7:40 PM",99,Essendon,9,10,2010,"Brett Rosebury (184), Scott Jeffery (174), Shane McInerney (295)",http://afltables.com/afl/stats/games/2010/050720100528.html,Docklands
24525,67,Melbourne,"Sat, 29-May-2010 2:10 PM",121,Geelong,54,10,2010,"Luke Farmer (46), Scott McLaren (354), Michael Jennings (4)",http://afltables.com/afl/stats/games/2010/091120100529.html,Kardinia Park
16694,77,Richmond,"Sat, 29-May-2010 2:40 PM (3:10 PM)",30,Port Adelaide,-47,10,2010,"Hayden Kennedy (467), Heath Ryan (39), Stuart Wenn (260)",http://afltables.com/afl/stats/games/2010/131420100529.html,Football Park
28708,76,Adelaide,"Sat, 29-May-2010 7:10 PM",123,St Kilda,47,10,2010,"Chris Donlon (96), Stephen McBurney (322), Damien Sully (49)",http://afltables.com/afl/stats/games/2010/011520100529.html,Docklands
34512,80,Collingwood,"Sat, 29-May-2010 7:10 PM",88,Brisbane Lions,8,10,2010,"Matt Stevic (130), Shane Stewart (31), Troy Pannell (61)",http://afltables.com/afl/stats/games/2010/041920100529.html,Gabba
36003,77,Sydney,"Sun, 30-May-2010 1:10 PM",79,Hawthorn,2,10,2010,"Michael Vozzo (244), Dean Margetts (132), Rob Findlay (21)",http://afltables.com/afl/stats/games/2010/101620100530.html,M.C.G.
29175,76,West Coast,"Sun, 30-May-2010 2:10 PM",105,Carlton,29,10,2010,"Mathew Nicholls (114), Jeff Dalgleish (10), Ray Chamberlain (122)",http://afltables.com/afl/stats/games/2010/031820100530.html,Docklands
36175,78,North Melbourne,"Sun, 30-May-2010 2:40 PM (4:40 PM)",139,Fremantle,61,10,2010,"Sam Hay (19), Simon Meredith (123), Shaun Ryan (171)",http://afltables.com/afl/stats/games/2010/081220100530.html,Subiaco
32858,97,St Kilda,"Fri, 4-Jun-2010 7:40 PM",59,Richmond,-38,11,2010,"Dean Margetts (133), Matt Stevic (131), Shane Stewart (32)",http://afltables.com/afl/stats/games/2010/141520100604.html,Docklands
49745,60,Melbourne,"Sat, 5-Jun-2010 2:10 PM",101,Carlton,41,11,2010,"Michael Vozzo (245), Jason Armstrong (28), Troy Pannell (62)",http://afltables.com/afl/stats/games/2010/031120100605.html,M.C.G.
35605,82,Fremantle,"Sat, 5-Jun-2010 2:40 PM (3:10 PM)",105,Adelaide,23,11,2010,"Michael Avon (174), Shane McInerney (296), Jacob Mollison (29)",http://afltables.com/afl/stats/games/2010/010820100605.html,Football Park
19100,89,Brisbane Lions,"Sat, 5-Jun-2010 7:10 PM",90,North Melbourne,1,11,2010,"Mathew Nicholls (115), Sam Hay (20), Stuart Wenn (261)",http://afltables.com/afl/stats/games/2010/121920100605.html,Docklands
33784,122,Geelong,"Sat, 5-Jun-2010 5:40 PM (7:40 PM)",98,West Coast,-24,11,2010,"Chris Donlon (97), Luke Farmer (47), Jeff Dalgleish (11)",http://afltables.com/afl/stats/games/2010/091820100605.html,Subiaco
29329,80,Essendon,"Sun, 6-Jun-2010 1:10 PM",89,Sydney,9,11,2010,"Stephen McBurney (323), Scott McLaren (355), Simon Meredith (124)",http://afltables.com/afl/stats/games/2010/051620100606.html,S.C.G.
21287,63,Port Adelaide,"Sun, 6-Jun-2010 2:10 PM",74,Hawthorn,11,11,2010,"Brett Rosebury (185), Heath Ryan (40), Chris Kamolins (70)",http://afltables.com/afl/stats/games/2010/101320100606.html,M.C.G.
40813,103,Western Bulldogs,"Sun, 6-Jun-2010 4:40 PM",113,Collingwood,10,11,2010,"Ray Chamberlain (123), Rob Findlay (22), Shaun Ryan (172)",http://afltables.com/afl/stats/games/2010/040720100606.html,Docklands
43732,68,Carlton,"Fri, 11-Jun-2010 7:40 PM",97,North Melbourne,29,12,2010,"Luke Farmer (48), Hayden Kennedy (468), Scott McLaren (356)",http://afltables.com/afl/stats/games/2010/031220100611.html,Docklands
16167,77,Adelaide,"Sat, 12-Jun-2010 2:10 PM",124,Hawthorn,47,12,2010,"Heath Ryan (41), Ray Chamberlain (124), Jason Armstrong (29)",http://afltables.com/afl/stats/games/2010/011020100612.html,York Park
46358,154,Geelong,"Sat, 12-Jun-2010 7:10 PM",83,Essendon,-71,12,2010,"Michael Vozzo (246), Sam Hay (21), Stuart Wenn (262)",http://afltables.com/afl/stats/games/2010/050920100612.html,Docklands
20106,93,Sydney,"Sat, 12-Jun-2010 7:10 PM (7:40 PM)",55,Port Adelaide,-38,12,2010,"Shaun Ryan (173), Scott Jeffery (175), Jacob Mollison (30)",http://afltables.com/afl/stats/games/2010/131620100612.html,Football Park
30870,77,West Coast,"Sun, 13-Jun-2010 1:10 PM",126,Richmond,49,12,2010,"Matt Stevic (132), Shane Stewart (33), Michael Jennings (5)",http://afltables.com/afl/stats/games/2010/141820100613.html,M.C.G.
30831,56,Brisbane Lions,"Sun, 13-Jun-2010 2:10 PM",121,Western Bulldogs,65,12,2010,"Chris Kamolins (71), Michael Avon (175), Shane McInerney (297)",http://afltables.com/afl/stats/games/2010/071920100613.html,Docklands
37569,85,St Kilda,"Sun, 13-Jun-2010 2:40 PM (4:40 PM)",67,Fremantle,-18,12,2010,"Dean Margetts (134), Brett Rosebury (186), Rob Findlay (23)",http://afltables.com/afl/stats/games/2010/081520100613.html,Subiaco
67454,76,Collingwood,"Mon, 14-Jun-2010 2:10 PM",76,Melbourne,0,12,2010,"Chris Donlon (98), Stephen McBurney (324), Simon Meredith (125)",http://afltables.com/afl/stats/games/2010/041120100614.html,M.C.G.
54148,86,Essendon,"Fri, 18-Jun-2010 7:40 PM",102,Hawthorn,16,13,2010,"Dean Margetts (135), Ray Chamberlain (125), Shane McInerney (298)",http://afltables.com/afl/stats/games/2010/051020100618.html,M.C.G.
